class template, instantiations, multiple overload instantiations, loc, definition file path, line
base::win::ScopedHGlobal, //18, //3, //24, //base/win/scoped_hglobal.h, //17
ui::TreeNode, //1, //1, //77, //ui/base/models/tree_node_model.h, //64
base::HashingMRUCache, //4, //4, //17, //base/containers/mru_cache.h, //282
base::MRUCacheBase, //3, //3, //89, //base/containers/mru_cache.h, //44
base::OwningMRUCache, //4, //3, //16, //base/containers/mru_cache.h, //251
ScopedObserver, //12, //7, //27, //base/scoped_observer.h, //17
extensions::DeclarativeActionSet, //11, //4, //70, //chrome/browser/extensions/api/declarative/declarative_rule.h, //135
content::RenderViewObserverTracker, //4, //1, //18, //content/public/renderer/render_view_observer_tracker.h, //38
base::LinkNode, //16, //3, //37, //base/containers/linked_list.h, //83
base::LinkedList, //4, //2, //18, //base/containers/linked_list.h, //134
base::debug::LeakTracker, //20, //8, //46, //base/debug/leak_tracker.h, //65
net::PriorityQueue, //7, //3, //148, //net/base/priority_queue.h, //32
